"","SYMBOL","ENTREZID"
"Fbl",Fbl,14113
"Cct5",Cct5,12465
"Eci2",Eci2,23986
"Rpl13",Rpl13,270106
"Scrn1",Scrn1,69938
"Pdia6",Pdia6,71853
"Phb2",Phb2,12034
"Capns1",Capns1,12336
"Psph",Psph,100678
"Glo1",Glo1,109801
"Pa2g4",Pa2g4,18813
"Cct6a",Cct6a,12466
"Capza2",Capza2,12343
"Csnk1e",Csnk1e,27373
"Cox4i1",Cox4i1,12857
"Sf3b1",Sf3b1,81898
"Strap",Strap,20901
"TALDO1",TALDO1,NA
"Cox6b1",Cox6b1,110323
"Blmh",Blmh,104184
"Arl8b",Arl8b,67166
"Tmpo",Tmpo,21917
"Sdhb",Sdhb,67680
"Syn1",Syn1,20964
"Farp1",Farp1,223254
"Dstn",Dstn,56431
"Naxd",Naxd,69225
"Rpl30",Rpl30,19946
"Rab11b",Rab11b,19326
"Kbtbd11",Kbtbd11,74901
"Hmgb1",Hmgb1,15289
"Scp2",Scp2,20280
"Pgls",Pgls,66171
"Ppp1r7",Ppp1r7,66385
"Ube2n",Ube2n,93765
"Acss2",Acss2,60525
"Hspe1",Hspe1,15528
"Fabp7",Fabp7,12140
"Calr",Calr,12317
"CALR",CALR,NA
"Pdlim5",Pdlim5,56376
"Crat",Crat,12908
"Rpn2",Rpn2,20014
"Slc6a11",Slc6a11,243616
"Eif3l",Eif3l,223691
"Mapk1",Mapk1,26413
"Atp2b1",Atp2b1,67972
"Grm3",Grm3,108069
"Mccc2",Mccc2,78038
"Serpinb5",Serpinb5,20724
"Fah",Fah,14085
"Plcd1",Plcd1,18799
"Capzb",Capzb,12345
"Ppp2ca",Ppp2ca,19052
"Tor1aip1",Tor1aip1,208263
"Tagln3",Tagln3,56370
"Eif3c",Eif3c,56347
"Rtn4",Rtn4,68585
"Dctn2",Dctn2,69654
"Clic1",Clic1,114584
"Vapb",Vapb,56491
"Eif3i",Eif3i,54709
"Serpinb1a",Serpinb1a,66222
"Sars",Sars,20226
"SARS",SARS,NA
"Gk",Gk,14933
"Lonp1",Lonp1,74142
"Rps11",Rps11,27207
"Cryz",Cryz,12972
"Otub1",Otub1,107260
"Rpl4",Rpl4,67891
"Dmd",Dmd,13405
"Rnpep",Rnpep,215615
"Krt32",Krt32,16670
"Ywhah",Ywhah,22629
"Cse1l",Cse1l,110750
"Sod1",Sod1,20655
"GNAS",GNAS,NA
"HBA.1",HBA,NA
"NA..1",,NULL
"NA..2",,NULL
"Septin6",Septin6,NA
"Pcbp2",Pcbp2,18521
"PRDX2",PRDX2,NA
"Lxn",Lxn,17035
"Hnrnpdl",Hnrnpdl,50926
"Hnrnpab",Hnrnpab,15384
"Arhgdia",Arhgdia,192662
"Hist2h2aa3",Hist2h2aa3,NA
"Sod2",Sod2,20656
"Rplp2",Rplp2,67186
"Abhd3",Abhd3,106861
"Hnrnpf",Hnrnpf,98758
"Plin3",Plin3,66905
"Rhog",Rhog,56212
"Sfxn3",Sfxn3,94280
"Pafah1b1",Pafah1b1,18472
"Rps14",Rps14,20044
"Rps6",Rps6,20104
"Acot11",Acot11,329910
"Bpnt1",Bpnt1,23827
"Psma5",Psma5,26442
"Clu",Clu,12759
"Cpe",Cpe,12876
"Cyc1",Cyc1,66445
"Slc1a4",Slc1a4,55963
"Qki",Qki,NA
"Adh5",Adh5,11532
"Cyfip1",Cyfip1,20430
"Cyp2d4",Cyp2d4,NA
"Ddx39b",Ddx39b,53817
"Tpr",Tpr,108989
"Ndufa8",Ndufa8,68375
"Sun2",Sun2,223697
"Cyb5b",Cyb5b,66427
"Rpl18",Rpl18,19899
"Tmed10",Tmed10,68581
"Srsf1",Srsf1,110809
"Prkcsh",Prkcsh,19089
"Ttyh1",Ttyh1,57776
"Eif3f",Eif3f,66085
"Akr1b7",Akr1b7,11997
"Etf1",Etf1,225363
"Dhrs1",Dhrs1,52585
"Aldh3a2",Aldh3a2,11671
"MAPT",MAPT,NA
"Rlbp1",Rlbp1,19771
"NA..3",,NULL
"Anxa2",Anxa2,12306
"Rbmx",Rbmx,19655
"Flna",Flna,192176
"Cbs",Cbs,12411
"Hsd11b1",Hsd11b1,15483
"Thy1",Thy1,21838
"Idh3B",Idh3B,NA
"Dbi",Dbi,13167
"Cops4",Cops4,26891
"Cnp",Cnp,12799
"Arpc4",Arpc4,68089
"Rab18",Rab18,19330
"Rhoa",Rhoa,11848
"Psmc4",Psmc4,23996
"Nln",Nln,75805
"Ipo5",Ipo5,70572
"Atp6v0a1",Atp6v0a1,11975
"Ndufv2",Ndufv2,72900
"Krt80",Krt80,74127
"Akr1a1",Akr1a1,58810
"Serpinb5.1",Serpinb5,20724
"Sec22b",Sec22b,20333
"Hdac1",Hdac1,433759
"Cycs",Cycs,13063
"Abi1",Abi1,11308
"Eef1b",Eef1b,NA
"Arpc2",Arpc2,76709
"Yars",Yars,107271
"Ndufa9",Ndufa9,66108
"Ipo7",Ipo7,233726
"Psmc6",Psmc6,67089
"Acat2",Acat2,110460
"Fyn",Fyn,14360
"Chchd3",Chchd3,66075
"Ruvbl2",Ruvbl2,20174
"Samm50",Samm50,68653
"Adsl",Adsl,11564
"U2af2",U2af2,22185
"Rpl5",Rpl5,100503670
"Ass1",Ass1,11898
"Eif2s1",Eif2s1,13665
"Cyb5a",Cyb5a,109672
"Psma1",Psma1,26440
"Tars",Tars,110960
"Rtcb",Rtcb,28088
"Psma3",Psma3,19167
"Ppa1",Ppa1,67895
"Raly",Raly,19383
"Eif3b",Eif3b,27979
"Rps10",Rps10,67097
"Rps19",Rps19,20085
"Echdc1",Echdc1,52665
"Xpo1",Xpo1,103573
"RPS24",RPS24,NA
"Psmc1",Psmc1,19179
"Psmb2",Psmb2,26445
"Prkar2a",Prkar2a,19087
"Gnaq",Gnaq,14682
"Dtna",Dtna,13527
"Psma2",Psma2,19166
"Fam49b",Fam49b,223601
"Ppp2r5a",Ppp2r5a,226849
"Kyat3",Kyat3,229905
"Nucb1",Nucb1,18220
"Rragc",Rragc,54170
"Prpf19",Prpf19,28000
"Psma7",Psma7,26444
"Hars",Hars,15115
"Kars",Kars,85305
"Entpd2",Entpd2,12496
"Ddb1",Ddb1,13194
"Twf1",Twf1,19230
"Glod4",Glod4,67201
"Snrpa",Snrpa,53607
"Ptgr2",Ptgr2,77219
"Txnl1",Txnl1,53382
"Pea15",Pea15,NA
"Rpl15",Rpl15,66480
"Cyb5r3",Cyb5r3,109754
"Dhrs4",Dhrs4,28200
"Gsta4",Gsta4,14860
"Dpysl3",Dpysl3,22240
"Tubal3",Tubal3,238463
"Krt82",Krt82,114566
"Ywhag",Ywhag,22628
"Hnrnpa0",Hnrnpa0,77134
"NA..4",,NULL
"Hsd17b10.1",Hsd17b10,15108
"Nme2",Nme2,18103
"Nme1",Nme1,18102
"Cap2",Cap2,67252
"Rab35",Rab35,77407
"Hist1h1b",Hist1h1b,56702
"H2afz",H2afz,51788
"Hist2h2ab",Hist2h2ab,621893
"Snca",Snca,20617
"Napb",Napb,17957
"Rtn3",Rtn3,20168
"Timm13",Timm13,30055
"H312",H312,NA
"Kpna6",Kpna6,16650
"Kpna1",Kpna1,16646
"Nono",Nono,53610
"Slc6a1",Slc6a1,232333
"Ak1",Ak1,11636
"Basp1",Basp1,70350
"Atp5md",Atp5md,66477
"Kpna4",Kpna4,16649
"Efhd1",Efhd1,98363
